T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
44.56219167,52.52774503,64.65112077,84.41916494,120.3071773,198.4847472,442.7313444,563.4800421,5111.286677,1592.972672,378.5027324,118.7782482,44.56219167,18.63458536,8.325787978
41.3092943,48.622683,59.77889659,77.98325457,110.9910952,182.5785002,403.8329962,599.7595742,5060.590579,1480.704729,351.6335793,110.3911853,41.3092943,17.18335897,7.612934567
38.28739341,44.99883204,55.26468968,72.03479715,102.4150225,168.0408056,368.794364,638.3255247,4991.337243,1376.580235,326.8481076,102.6187934,38.28739341,15.83397935,6.950010898
35.47866787,41.63398875,51.07933576,66.53232684,94.51196586,154.7356946,337.1750759,679.289097,4904.827456,1280.068306,303.9642748,95.41079246,35.47866787,14.57885649,6.333366793
32.86683803,38.50792954,47.19637305,61.43841647,87.22190183,142.5426569,308.590569,722.7613364,4802.588682,1190.651135,282.8176919,88.72158135,32.86683803,13.41102196,5.759641169
30.43701404,35.60220944,43.5917567,56.71922988,80.49095743,131.3546856,282.7045597,768.8521034,4686.322568,1107.829604,263.2597989,82.50974519,30.43701404,12.3240717,5.225737038
28.17556106,32.89998393,40.24360708,52.34412946,74.27069631,121.0765881,259.2225469,817.6688827,4557.85,1031.127133,245.156229,76.73762024,28.17556106,11.31211499,4.72879906
26.0699793,30.38585099,37.13198752,48.2853316,68.51749633,111.6235261,237.8862117,869.3154127,4419.056542,960.0921465,228.3853443,71.37090871,26.0699793,10.3697285,4.266193386
24.10879697,28.0457107,34.2387077,44.51760355,63.19200604,102.9197513,218.4685959,923.8901246,4271.840786,894.2994319,212.8369262,66.37833754,24.10879697,9.491915284,3.835489589
22.28147482,25.86664044,31.54714962,41.01799642,58.25866906,94.89750986,200.7699506,981.4843804,4118.067664,833.3506553,198.4110055,61.73135568,22.28147482,8.674067768,3.434444501
20.57832068,23.83678357,29.04211306,37.76560958,53.68530747,87.49609056,184.6141641,1042.180501,3959.528239,776.8742417,185.0168173,57.4038651,20.57832068,7.911934553,3.060987834
18.99041293,21.94525018,26.70967837,34.74138241,49.44275605,80.66099767,169.8456847,1106.049583,3797.90689,724.5247837,172.5718685,53.37198166,18.99041293,7.201590507,2.713209529
17.50953187,20.18202831,24.53708427,31.92790999,45.50454087,74.34323044,156.3268707,1173.149097,3634.756261,675.9821176,161.0011045,49.61382192,17.50953187,6.539409852,2.389348832
